#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   159   0.455497E+04  -0.443380E+02   0.202207E-03  -0.443380E+02   0.103344E+01  -0.987726E-06   0.202207E-03  -0.987726E-06   0.713491E-07
   160   0.458723E+04  -0.441699E+02   0.200478E-03  -0.441699E+02   0.102491E+01  -0.972145E-06   0.200478E-03  -0.972145E-06   0.709490E-07
   161   0.461924E+04  -0.439753E+02   0.198768E-03  -0.439753E+02   0.101607E+01  -0.956452E-06   0.198768E-03  -0.956452E-06   0.705522E-07
   162   0.465100E+04  -0.437542E+02   0.197076E-03  -0.437542E+02   0.100692E+01  -0.940667E-06   0.197076E-03  -0.940667E-06   0.701586E-07
   163   0.468249E+04  -0.435060E+02   0.195402E-03  -0.435060E+02   0.997493E+00  -0.924811E-06   0.195402E-03  -0.924811E-06   0.697684E-07
   164   0.471369E+04  -0.432309E+02   0.193746E-03  -0.432309E+02   0.987795E+00  -0.908907E-06   0.193746E-03  -0.908907E-06   0.693813E-07
   165   0.474460E+04  -0.429285E+02   0.192108E-03  -0.429285E+02   0.977845E+00  -0.892976E-06   0.192108E-03  -0.892976E-06   0.689975E-07
   166   0.477521E+04  -0.425987E+02   0.190488E-03  -0.425987E+02   0.967665E+00  -0.877038E-06   0.190488E-03  -0.877038E-06   0.686168E-07
   167   0.480550E+04  -0.422414E+02   0.188885E-03  -0.422414E+02   0.957276E+00  -0.861115E-06   0.188885E-03  -0.861115E-06   0.682393E-07
   168   0.483546E+04  -0.418565E+02   0.187300E-03  -0.418565E+02   0.946703E+00  -0.845229E-06   0.187300E-03  -0.845229E-06   0.678649E-07
   169   0.486509E+04  -0.414439E+02   0.185733E-03  -0.414439E+02   0.935965E+00  -0.829401E-06   0.185733E-03  -0.829401E-06   0.674936E-07
   170   0.489438E+04  -0.410035E+02   0.184183E-03  -0.410035E+02   0.925080E+00  -0.813652E-06   0.184183E-03  -0.813652E-06   0.671254E-07
   171   0.492331E+04  -0.405352E+02   0.182650E-03  -0.405352E+02   0.914075E+00  -0.798003E-06   0.182650E-03  -0.798003E-06   0.667603E-07
   172   0.495188E+04  -0.400390E+02   0.181134E-03  -0.400390E+02   0.902973E+00  -0.782476E-06   0.181134E-03  -0.782476E-06   0.663983E-07
   173   0.498009E+04  -0.395148E+02   0.179635E-03  -0.395148E+02   0.891797E+00  -0.767092E-06   0.179635E-03  -0.767092E-06   0.660392E-07
   174   0.500790E+04  -0.389626E+02   0.178153E-03  -0.389626E+02   0.880569E+00  -0.751872E-06   0.178153E-03  -0.751872E-06   0.656832E-07
   175   0.503533E+04  -0.383825E+02   0.176688E-03  -0.383825E+02   0.869325E+00  -0.736839E-06   0.176688E-03  -0.736839E-06   0.653301E-07
   176   0.506236E+04  -0.377743E+02   0.175240E-03  -0.377743E+02   0.858081E+00  -0.722007E-06   0.175240E-03  -0.722007E-06   0.649800E-07
