#    L    TT             EE             BB             TE          
   254   0.805765E+04   0.792483E+01   0.366364E+02   0.505585E+02
   255   0.804825E+04   0.795297E+01   0.367991E+02   0.506018E+02
   256   0.803887E+04   0.798104E+01   0.369617E+02   0.506451E+02
   257   0.802952E+04   0.800904E+01   0.371242E+02   0.506883E+02
   258   0.802019E+04   0.803696E+01   0.372866E+02   0.507315E+02
   259   0.801088E+04   0.806480E+01   0.374488E+02   0.507747E+02
   260   0.800160E+04   0.809257E+01   0.376109E+02   0.508178E+02
   261   0.799234E+04   0.812027E+01   0.377729E+02   0.508609E+02
   262   0.798310E+04   0.814789E+01   0.379347E+02   0.509039E+02
   263   0.797389E+04   0.817544E+01   0.380964E+02   0.509469E+02
   264   0.796469E+04   0.820291E+01   0.382580E+02   0.509898E+02
   265   0.795552E+04   0.823031E+01   0.384195E+02   0.510327E+02
   266   0.794637E+04   0.825763E+01   0.385809E+02   0.510755E+02
   267   0.793724E+04   0.828487E+01   0.387421E+02   0.511182E+02
   268   0.792812E+04   0.831204E+01   0.389032E+02   0.511609E+02
   269   0.791903E+04   0.833914E+01   0.390642E+02   0.512035E+02
   270   0.790996E+04   0.836616E+01   0.392251E+02   0.512461E+02
   271   0.790091E+04   0.839311E+01   0.393858E+02   0.512885E+02
   272   0.789188E+04   0.841997E+01   0.395465E+02   0.513309E+02
   273   0.788287E+04   0.844677E+01   0.397070E+02   0.513732E+02
   274   0.787388E+04   0.847349E+01   0.398674E+02   0.514155E+02
   275   0.786490E+04   0.850013E+01   0.400277E+02   0.514576E+02
   276   0.785595E+04   0.852670E+01   0.401878E+02   0.514996E+02
   277   0.784701E+04   0.855319E+01   0.403479E+02   0.515416E+02
   278   0.783809E+04   0.857961E+01   0.405078E+02   0.515834E+02
   279   0.782919E+04   0.860595E+01   0.406676E+02   0.516252E+02
   280   0.782031E+04   0.863221E+01   0.408273E+02   0.516668E+02
   281   0.781144E+04   0.865840E+01   0.409869E+02   0.517083E+02
   282   0.780259E+04   0.868451E+01   0.411464E+02   0.517498E+02
   283   0.779376E+04   0.871055E+01   0.413058E+02   0.517911E+02
   284   0.778494E+04   0.873651E+01   0.414651E+02   0.518323E+02
   285   0.777614E+04   0.876239E+01   0.416242E+02   0.518733E+02
   286   0.776735E+04   0.878820E+01   0.417832E+02   0.519143E+02
   287   0.775858E+04   0.881394E+01   0.419422E+02   0.519551E+02
   288   0.774982E+04   0.883959E+01   0.421010E+02   0.519958E+02
   289   0.774108E+04   0.886517E+01   0.422597E+02   0.520363E+02
   290   0.773236E+04   0.889068E+01   0.424183E+02   0.520768E+02
   291   0.772365E+04   0.891610E+01   0.425768E+02   0.521170E+02
   292   0.771495E+04   0.894145E+01   0.427351E+02   0.521572E+02
   293   0.770627E+04   0.896673E+01   0.428934E+02   0.521972E+02
   294   0.769760E+04   0.899193E+01   0.430516E+02   0.522370E+02
   295   0.768894E+04   0.901705E+01   0.432097E+02   0.522767E+02
   296   0.768030E+04   0.904209E+01   0.433676E+02   0.523163E+02
   297   0.767167E+04   0.906706E+01   0.435255E+02   0.523556E+02
   298   0.766305E+04   0.909195E+01   0.436832E+02   0.523949E+02
   299   0.765445E+04   0.911677E+01   0.438409E+02   0.524339E+02
   300   0.764585E+04   0.914150E+01   0.439984E+02   0.524728E+02
   301   0.763727E+04   0.916616E+01   0.441558E+02   0.525115E+02
   302   0.762870E+04   0.919075E+01   0.443132E+02   0.525500E+02
   303   0.762014E+04   0.921525E+01   0.444704E+02   0.525884E+02
   304   0.761159E+04   0.923968E+01   0.446275E+02   0.526266E+02
   305   0.760306E+04   0.926404E+01   0.447846E+02   0.526646E+02
   306   0.759453E+04   0.928831E+01   0.449415E+02   0.527024E+02
   307   0.758602E+04   0.931250E+01   0.450983E+02   0.527400E+02
   308   0.757751E+04   0.933662E+01   0.452550E+02   0.527775E+02
   309   0.756902E+04   0.936066E+01   0.454116E+02   0.528147E+02
   310   0.756054E+04   0.938462E+01   0.455681E+02   0.528517E+02
   311   0.755207E+04   0.940851E+01   0.457245E+02   0.528886E+02
   312   0.754361E+04   0.943231E+01   0.458808E+02   0.529252E+02
   313   0.753516E+04   0.945603E+01   0.460369E+02   0.529617E+02
   314   0.752672E+04   0.947968E+01   0.461930E+02   0.529979E+02
   315   0.751829E+04   0.950324E+01   0.463489E+02   0.530339E+02
   316   0.750987E+04   0.952673E+01   0.465047E+02   0.530697E+02
   317   0.750146E+04   0.955014E+01   0.466605E+02   0.531053E+02
   318   0.749306E+04   0.957346E+01   0.468161E+02   0.531407E+02
   319   0.748467E+04   0.959671E+01   0.469716E+02   0.531758E+02
   320   0.747629E+04   0.961988E+01   0.471269E+02   0.532107E+02
   321   0.746792E+04   0.964296E+01   0.472822E+02   0.532454E+02
   322   0.745955E+04   0.966597E+01   0.474374E+02   0.532798E+02
   323   0.745120E+04   0.968889E+01   0.475924E+02   0.533141E+02
   324   0.744286E+04   0.971173E+01   0.477473E+02   0.533480E+02
   325   0.743452E+04   0.973450E+01   0.479021E+02   0.533818E+02
   326   0.742620E+04   0.975718E+01   0.480568E+02   0.534153E+02
   327   0.741788E+04   0.977978E+01   0.482113E+02   0.534485E+02
   328   0.740957E+04   0.980229E+01   0.483658E+02   0.534815E+02
   329   0.740127E+04   0.982473E+01   0.485201E+02   0.535143E+02
   330   0.739298E+04   0.984708E+01   0.486743E+02   0.535468E+02
   331   0.738470E+04   0.986936E+01   0.488284E+02   0.535790E+02
   332   0.737642E+04   0.989154E+01   0.489824E+02   0.536110E+02
   333   0.736816E+04   0.991365E+01   0.491362E+02   0.536427E+02
   334   0.735990E+04   0.993567E+01   0.492899E+02   0.536741E+02
   335   0.735165E+04   0.995762E+01   0.494435E+02   0.537053E+02
   336   0.734340E+04   0.997947E+01   0.495970E+02   0.537362E+02
